"","word","mu","alpha","drift","A","B","C","resamplestdev","theta","maxRhat","medianRhat","total.freq","median.daily.p","mean.daily.p","sd.daily.p","freq.acorr","lpcor"
"cor1220","democracies",-10.4175869702331,1.9204618728869,0.67598052083826,-1.41019529515745,0.619421728357039,-0.133605217002374,1.82748429983408,0.00235032744550153,1.24433534683372,1.05522995435302,9.19085169539232,-12.9020173379737,-12.955252799101,NA,0.432434419010345,0.94214435978848
"cor1221","asgardian",-11.0673914603465,0.378596290979224,0.750816324292214,-1.39072992763001,0.602673315137663,-0.118152586106078,0.641817358324346,0.00320556961426115,1.30543960648519,1.02551847258352,6.61873898351722,-14.3574747470709,-14.1795521062787,NA,0.297711658711973,0.957397483126453
"cor1222","broadrick",-14.0880445138211,-0.115261371286152,0.165210655338261,-0.942828969475004,-0.0976624204000664,0.175436587294092,0.763501472733037,0.0022305522910266,1.6692021327818,1.39711287008736,2.83321334405622,-15.1649977159525,-14.9661510160224,NA,NA,0.96570946046608
"cor1223","attacker",-8.76897288275554,1.39766288955113,0.785095752654159,-1.57145552212773,0.617692918163873,-0.0119208681873741,1.4254722775437,0.00908960396409068,1.19129801139959,1.01446167853465,10.7193831983551,-11.6576594465371,-11.5760636924674,NA,0.570265240622884,0.990715354479273
"cor1224","cizek",-12.2120666618902,-0.572692468823401,0.681116776876637,-1.22209943860079,0.340069309812803,-0.197281084533754,0.803661851824362,0.00276814172982551,1.50081670343776,1.03909613039723,4.77912349311153,-14.9463273368914,-14.5233172578246,NA,-0.184070467720352,0.989460401914665
"cor1225","apz",-13.1553247336848,0.0957179814681497,0.315412543181893,-1.38577945003967,0.0149161848051543,0.173895048291167,0.591596493083244,0.0036909211058683,3.64173533682554,1.17315759488357,5.99645208861902,-14.7843563043207,-14.6811052805019,NA,0.103496387903544,0.831862248798714
"cor1226","butts",-9.76227402531241,2.63708494934296,0.865870525195767,-3.13767990608462,0.315151205386125,-0.0836973923241041,2.20774052131315,0.00430237327619805,2.09866125706689,1.17923718906986,8.71078434046842,-13.4507316287615,-13.4904582614895,NA,0.11273583595372,0.932199326648037
"cor1227","comfiest",-13.7481942904974,-0.000303673293196629,0.230637710141485,-1.07658639045619,-0.0450691586347848,0.152859533464437,0.654341944166012,0.00211839559792749,3.5024816848821,1.77123002549934,4.11087386417331,-15.1760400881231,-14.995692098365,NA,-0.0218648130708505,0.948046225636062
"cor1228","disposal",-9.32289679105617,2.83385424872939,0.623571953373235,-1.98163864400472,0.422613074733521,-0.0219542687332958,1.8576049835988,0.00530509006508862,1.54034055402392,1.12185466148026,10.1200897558069,-12.0036947092477,-11.9641644658573,NA,0.372952817410274,0.974012468641403
"cor1229","avb",-11.2949722701996,0.522941630976843,0.2815319665388,-1.4941384303363,0.572901146202873,-0.259406857569802,0.649802987891591,0.00781174849979073,3.86010298907132,1.10617215181923,6.24416690066374,-14.8785853715289,-14.6542647804434,NA,-0.0217942980110887,0.776388923683283
