word,mu,scale,A,B,C,theta,jump,maxRhat,medianRhat,lastRhats,divergent,total.freq,median.daily.p,mean.daily.p,sd.daily.p,freq.acorr,lpcor
streams/nns,-11.80862084,0.392148791,-0.032744181,0.439386343,-0.042079874,3.055455516,2.752165341,1.003398406,1.000014786,1.003398406,0,10.13828296,-11.8460997,-11.84098447,0.557296191,0.103663534,0.983433787
stream/vb,-12.15894763,0.334967734,0.493383444,0.50512219,0.00324962,1.69431841,1.803024987,1.001901583,0.999953541,1.001818516,0,9.982899292,-11.88687818,-11.94411854,0.537092628,0.348692541,0.93115319
streep/nnp,-14.07937476,1.027656502,0.532899627,0.874285555,-0.267216719,1.33625018,0.11724,1.846743803,1.000847918,1.06073747,26,9.700024072,-13.58991839,-13.29688533,1.447630642,0.580535342,0.977265782
street/nn,-9.515294664,0.2118251,-0.245206586,0.671628295,-0.058520055,2.710191235,1.992972516,1.022377761,1.002288618,1.022377761,0,12.1892062,-9.665268953,-9.636920178,0.312789403,0.590964659,0.97234923
street/nnp,-8.705017873,0.187368191,-0.075813658,0.540463957,-0.038344709,3.471827423,1.58420169,1.016725613,1.001150377,1.016725613,0,13.07565744,-8.749250862,-8.743011004,0.230940095,0.458191112,0.993911713
streets/nns,-9.806705942,0.29877013,-0.144806116,0.65589765,0.043830803,2.285364169,0.474832384,1.006006541,1.001696319,1.002386496,0,11.9933558,-9.880022303,-9.850571448,0.381976507,0.61367179,0.991183912
strength/nn,-9.716135444,0.15868367,-0.032032203,0.765891729,-0.082543174,1.181092561,0.91527273,1.019225453,1.000281614,1.019225453,0,12.07131193,-9.732769077,-9.738840605,0.217944313,0.498267051,0.990491536
stressed/vbd,-10.85206684,0.196210393,-0.239380369,0.56038917,-0.045556753,2.595312673,0.891107498,1.014508421,1.000571964,1.014508421,1,10.85290353,-10.96803409,-10.97978987,0.278070806,0.365201879,0.943859846
stressed/vbn,-12.31774951,0.352553307,-0.008937659,0.540562406,-0.119719359,0.863229914,0.711832808,1.060605923,1.002798788,1.060605923,49,9.535823882,-12.33715542,-12.36224403,0.475924333,0.221282764,0.953082579
stressful/jj,-12.6614878,0.433665622,0.435995643,0.629827978,-0.114840276,1.2434608,0.490539154,1.04481599,1.000820001,1.04481599,0,9.438511265,-12.46965969,-12.48741574,0.578521769,0.347767938,0.928311009
stress/jj,-13.339569,0.388038934,0.313006484,0.513048379,-0.119788495,1.29094404,2.380951605,1.021423432,1.000151873,1.021423432,0,8.791790024,-13.20582612,-13.25917977,0.768888354,0.20240727,0.935184733
stress/nn,-10.81674968,0.331211899,0.271394937,0.455325355,-0.029113412,3.717829051,3.107833036,1.00446131,1.00007904,1.00172825,0,11.21038691,-10.68757314,-10.68024035,0.429740858,0.378127608,0.979004182
stress/vb,-12.55483289,0.243515084,0.148826693,0.857661229,-0.09524112,0.004600883,1.330824661,1.116830759,1.008726012,1.116830759,0,9.35832925,-12.48928725,-12.53698143,0.487542256,0.187737007,0.934299016
stretcher/nn,-13.18289613,0.703229376,0.018013904,0.456949859,0.145438796,1.741007819,1.308599282,1.612798103,1.001678954,1.08467696,46,8.925321417,-13.22110716,-13.20710993,0.986525095,0.321631808,0.975354988
stretch/nn,-10.03419887,0.201016226,-0.212142283,0.570972765,0.087956447,2.621611915,1.960542328,1.024555735,1.000431386,1.024555735,0,11.67671808,-10.14239021,-10.1335552,0.299352922,0.514959702,0.972444354
stretch/vb,-12.13672823,0.278347664,0.012836906,0.612039597,-0.045142004,1.993117193,0.483585377,1.005952297,0.999995368,1.005952297,1,9.702961291,-12.13559197,-12.14322208,0.399375159,0.325427635,0.943922185
stricter/nn,-13.13110867,0.486311296,0.124251969,0.749736564,-0.12481671,2.026209197,0.447034098,1.005757154,1.000393885,1.005018214,0,8.954415331,-13.08517926,-13.09769838,0.759482305,0.57256749,0.929707563
strict/jj,-11.2596548,0.23931019,0.019535393,0.525677883,0.000716465,2.051830896,1.142493786,1.004120138,1.000107738,1.004120138,3,10.57770672,-11.25145105,-11.26863652,0.334805157,0.318147132,0.97155577
strictly/rb,-10.33515188,0.105845052,-0.371223411,0.843929607,-0.180482444,2.522234412,0.565243627,1.026425086,1.000855772,1.018138702,0,11.27917587,-10.52509495,-10.521617,0.221521363,0.570673248,0.805409606
stride/nn,-12.52073364,0.337892195,0.066177481,0.297902191,0.230010491,2.252111256,0.487651018,1.007570221,1.00035602,1.007570221,1,9.349058291,-12.49438539,-12.51719726,0.472311877,0.237245721,0.944514985
strides/nns,-12.2452136,0.264117324,-0.063079469,0.638749568,0.114091131,0.477860427,0.703374909,1.030927969,1.000921201,1.030896774,0,9.546241017,-12.26793847,-12.31411564,0.41487422,0.206220442,0.914057277
strife/nn,-12.90857714,0.316137996,-0.263822671,0.767566912,-0.289471262,1.256932475,2.289336053,1.012446724,1.000397735,1.012446724,0,8.892611378,-13.0621719,-13.10929247,0.709045925,0.275972519,0.917414211
strike/nn,-9.972832569,0.395566596,0.004367865,0.66953934,-0.103390607,3.440677165,2.192720053,1.074921821,1.014196999,1.046419266,0,11.96109879,-9.997631197,-9.958515566,0.537365154,0.640557796,0.998632692
strike/nnp,-13.09686821,0.532929852,0.343059953,0.636280632,-0.031429171,1.044371823,1.495959859,1.02199375,1.000363383,1.02199375,0,9.098514557,-12.97952349,-12.99156803,0.841314685,0.342774436,0.958113702
strikeout/nn,-13.21392679,0.566913409,0.4967131,0.877298947,-0.196292007,3.913105254,1.643344718,1.449335562,1.008857152,1.011827625,252,9.243581706,-12.75195166,-12.90631934,1.142796942,0.598433396,0.961504767
striker/nn,-11.51277072,0.570769069,-0.524440523,0.645427713,0.097789395,0.628461675,1.545682345,1.024577588,1.000889076,1.024577588,0,10.30048357,-11.69313461,-11.77631499,0.937941272,0.454648067,0.97211901
strikes/nnp,-13.5603417,0.41918249,0.924792904,0.805403443,-0.169810801,1.61348723,2.355016185,1.011766804,1.000425436,1.011766804,0,8.968396191,-13.16049987,-13.18636674,0.915452591,0.460604133,0.897239587
strikes/nns,-10.09265723,0.362824463,-0.35939493,0.641076423,-0.094793289,4.120565128,3.679647574,1.010341253,1.001087175,1.00847006,0,11.6958052,-10.28517166,-10.23710375,0.523799459,0.569283031,0.978719799
strikes/vbz,-12.44575503,0.370553013,0.026797539,0.591156858,-0.011693459,1.298611078,0.537627914,1.113080775,1.004325103,1.113080775,3,9.444779883,-12.45591785,-12.45198715,0.491406125,0.375484647,0.95375792
strike/vb,-11.10873303,0.238549846,0.215990725,0.630052219,-0.104516152,3.071205306,2.291728096,1.017415291,1.000321924,1.017415291,0,10.83759856,-11.0170889,-11.00202827,0.356219954,0.509012496,0.966147104
striking/jj,-11.91809597,0.217072488,0.15155488,0.654909553,-0.071371513,0.690976811,1.435096902,1.403887596,1.003939017,1.114142596,14,9.97706324,-11.85656178,-11.86496455,0.376436949,0.276881862,0.955459674
striking/vbg,-10.74313865,0.269454524,-0.055697643,0.750067509,-0.161393596,4.726724696,0.748554162,1.022333923,1.00125326,1.018441889,0,11.0690729,-10.76820606,-10.7696819,0.397220854,0.582332022,0.989526038
stringent/jj,-12.53597434,0.405411459,-0.192271323,0.530661329,-0.010360122,2.780600346,1.048916147,1.014273435,1.000106962,1.014273435,4,9.290536914,-12.63566722,-12.69861783,0.626639189,0.344988604,0.931070378
string/nn,-10.7122171,0.216206306,-0.222797093,0.553005833,-0.060643322,2.422164642,1.477218108,3.152814793,1.015645486,3.152814793,0,11.00806535,-10.82369107,-10.81661677,0.284188104,0.407459824,0.960320341
strings/nns,-12.50925658,0.510004846,-0.071623557,0.937804255,-0.390985254,-0.074638735,0.471199642,1.013256925,0.999985594,1.013256925,0,9.419466132,-12.5432696,-12.54904677,0.568055498,0.325544317,0.953923394
string/vbg,-13.17872317,0.446852107,0.104264025,0.655144879,-0.140944404,2.512267356,1.441731245,1.005495251,1.000089749,1.005495251,0,8.829226355,-13.15575087,-13.16890122,0.705297955,0.344235519,0.928856497
stripes/nns,-12.82211681,0.44062397,0.01647141,0.494311731,-0.160643671,3.917428242,3.41888864,1.005531417,0.9999893,1.003569739,0,9.156834104,-12.84452998,-12.85826896,0.661507898,0.564971856,0.948366351
strip/nn,-11.86541801,0.365167337,0.15697136,0.636972527,0.000516468,1.35649517,1.726216377,1.003542261,1.000195375,1.002494514,0,10.13567013,-11.81002035,-11.80558758,0.566821987,0.455938358,0.977668442
strip/nnp,-11.9269063,0.634346531,0.663075503,0.574137602,-0.071390908,3.234331562,2.221580889,1.026053558,1.001325826,1.013126378,0,10.52733824,-11.62256183,-11.62047623,0.871997819,0.613484095,0.965801432
stripped/vbd,-12.49688118,0.423657447,-0.007001008,0.536906494,-0.013798646,1.493138218,0.517605217,1.040718943,1.000536093,1.040718943,0,9.387900612,-12.50481936,-12.54146296,0.559203349,0.286308654,0.953800586
stripped/vbn,-12.20324277,0.399894181,0.042182721,0.565586602,-0.158747417,2.834061855,1.505258773,1.014248146,1.00022469,1.014248146,0,9.725735539,-12.17602087,-12.21212643,0.546679629,0.379195171,0.969673965
strip/vb,-12.57092215,0.442625249,0.053268501,0.552029892,-0.082546223,2.33949684,0.858993603,1.017059109,1.000288479,1.017059109,0,9.380589348,-12.55451007,-12.5948267,0.630322496,0.319415592,0.952534334
strive/vb,-13.17663741,0.208213009,0.224719231,0.951521752,-0.380897514,2.09770633,2.744757019,1.138122982,1.008240063,1.138122982,0,8.907070776,-13.08215161,-13.08036385,0.741341786,0.638524202,0.870935941
strive/vbp,-11.7302494,0.13813524,0.309967967,0.996441125,-0.591004221,4.160920204,1.329307466,1.039693689,1.006841654,1.034561783,0,9.883692925,-11.80260674,-12.12015607,0.80436093,0.751762663,0.934132405
striving/vbg,-12.69736451,0.213538884,-0.226254625,0.716831264,-0.174188799,1.064497554,2.817149161,2.611171508,1.004641625,1.109119284,60,9.070043286,-12.81591913,-12.86859996,0.56392566,0.278873958,0.899614664
