day,lpobs,mu,low,high
131,-11.328751065450115,-11.386708750595904,-11.482681987317148,-11.28617284797584
132,-12.749260159377933,-12.681396220322343,-12.843589518304194,-12.523728951852396
133,-12.182109772050222,-12.31414881021118,-12.446825283936034,-12.171635915928327
134,-12.875227014036769,-12.73095178219627,-12.866914196963332,-12.5891389135944
135,-12.530940144560743,-12.502918889751234,-12.676325420349045,-12.342610135993976
136,-12.049819989579634,-12.121772575367833,-12.266918847014512,-11.978067821755143
137,-11.924412405396888,-11.956765387403669,-12.072973266241338,-11.827069735263084
138,-11.799972630028607,-11.859025377324706,-11.965302831020333,-11.743603256093255
139,-12.742517431868599,-12.639370268598116,-12.789626407247747,-12.48412491224362
140,-12.520690580180789,-12.50823436425804,-12.64266551779385,-12.35795472509456
141,-11.863690150101084,-11.966365162334153,-12.087244858815952,-11.84450830687171
142,-12.002632911483534,-12.068089396553889,-12.22499973182155,-11.91513117746799
143,-12.385907400673238,-12.401889291916163,-12.555364916641404,-12.24706033885791
144,-12.467875935373126,-12.565673291181154,-12.700431485167885,-12.42185207179636
145,-13.179199419843757,-13.00783698112341,-13.170563529809257,-12.837904657766881
146,-13.02886928750997,-13.027577472534526,-13.175368149796338,-12.873202082478016
147,-13.16443323302197,-13.050466909592823,-13.224762704530251,-12.86411744264451
148,-12.324410194082526,-12.445587790150947,-12.571095829223106,-12.309085657960374
149,-12.38602925526226,-12.51237369291009,-12.686594163197451,-12.325500465927187
150,-13.28157050894822,-12.969043987471027,-13.150415621922743,-12.789475040114123
151,-12.855458383045164,-12.888474093845998,-13.039930817543711,-12.722841521491596
152,-12.927282584838514,-12.87858259873659,-13.03566866402134,-12.715806018637313
153,-12.3801013589215,-12.563668923746413,-12.734237188135484,-12.39913939706432
154,-13.901849021098151,-13.214150150097502,-13.37490255215632,-13.032835967077187
155,-12.798121510634774,-12.77722460645934,-12.96349378734136,-12.576071946816144
156,-11.847236183520035,-12.008135104450716,-12.150606316836816,-11.861664462694785
157,-12.14700605934563,-12.269816009180934,-12.451344755893453,-12.059523795704171
158,-13.6551920293373,-13.118100434687458,-13.315875063705654,-12.908430885360069
159,-11.750713477021106,-11.836388464261711,-11.959257522408643,-11.702263286354912
160,-12.83081004350236,-12.726715187523014,-12.883558099641876,-12.555399926686425
161,-12.754281422388543,-12.79189358935196,-12.944139798321558,-12.639680265834812
162,-12.650847977437436,-12.770993309309704,-12.935846357243722,-12.616141929793255
163,-14.146742301442023,-13.261140642274773,-13.474905794680602,-13.020529319211189
164,-11.802258673546214,-11.999900530886515,-12.145229999173148,-11.844703772555
165,-12.686849524744794,-12.733468287621657,-12.920462005786609,-12.555024474663568
166,-13.657303261181221,-13.180648255995239,-13.34414130397104,-13.00366748568398
167,-12.594405643050377,-12.719366133850878,-12.87812570669285,-12.548273994202376
168,-12.733151221590916,-12.742334338939168,-12.893421705556428,-12.564783654040093
169,-12.689126684030498,-12.638687193620376,-12.802241042112138,-12.46853985484324
170,-11.979188513207674,-12.087902167623538,-12.230315889436355,-11.94034502735774
171,-12.120363018299157,-12.116621269195054,-12.246531032433003,-11.9724909438752
172,-11.91606416538558,-12.007036229557729,-12.139594316831316,-11.864256216613999
173,-12.829565209724288,-12.605504859708356,-12.757829068558856,-12.43561860869433
174,-11.951715958802346,-12.087988338156409,-12.225987966115119,-11.945966171573735
175,-12.984516859432054,-12.86206317397699,-13.016747888762204,-12.693137473212438
176,-13.070396698449535,-13.020338972798283,-13.172341212734384,-12.84260160246682
177,-13.307766431504907,-13.037803847715725,-13.292679506724403,-12.762635126756479
178,-11.830487315227654,-12.019596737762344,-12.170562836453637,-11.855385172516941
179,-12.452295069031443,-12.391959022591807,-12.537932108787416,-12.24176561799893
180,-12.076975217862065,-12.193352117130386,-12.312245699543721,-12.0640485065113
181,-12.832289355612161,-12.691374244615456,-12.854603108523232,-12.530399386932626
182,-12.189578036158986,-12.332022948505928,-12.470259947257654,-12.182212454237504
183,-12.779203360685282,-12.617309963793424,-12.780132814755063,-12.45062335730903
184,-12.049661496098809,-12.168307914386066,-12.345403834092847,-11.987007333738209
185,-12.154642094759835,-12.052979627507606,-12.189548368008372,-11.890305347025354
186,-11.226618319888336,-11.361723637452783,-11.465626021747736,-11.252037340580202
187,-11.960369498096396,-11.956366790702196,-12.105856853642209,-11.80242564610648
188,-12.254448735887639,-12.216174053446192,-12.352491641362661,-12.078807910704953
189,-12.050910974053807,-12.132104782652483,-12.242836773478599,-12.002256455418598
190,-12.415175497711651,-12.36557963244099,-12.506305528535346,-12.227953565683391
191,-12.109544192682511,-12.241494502287516,-12.405796602478489,-12.071636884999014
192,-13.440571987574087,-12.879333241245922,-13.10025383640251,-12.652966456003696
193,-11.609301105677579,-11.691587931077137,-11.811059654296477,-11.566823805865113
194,-13.67714854523019,-13.25823069390407,-13.384638563580078,-13.12492383391459
195,-14.223046187728965,-13.636704051992108,-13.819761032478304,-13.440144544583788
196,-13.36196008725569,-13.378771492563684,-13.56551845562571,-13.1920941450014
197,-13.174070473664074,-13.240114570140868,-13.436303842627717,-13.051296642921002
198,-13.46927698412947,-13.30597871961966,-13.518898854688612,-13.08012383345039
199,-13.125618407374967,-13.050968084107247,-13.27770045795631,-12.796408826602878
